ENVI ASCII Plot File [Sat Oct  3 15:49:00 2015]
Column 1: Wavelength
Column 2: kazzz3_f_f_002.txt:C2~~1
  0.4003   3.9052
  0.4048   3.9100
  0.4094   3.9101
  0.4139   3.9191
  0.4184   3.9306
  0.4229   3.9475
  0.4274   3.9772
  0.4320   3.9902
  0.4365   4.0032
  0.4410   4.0303
  0.4456   4.0831
  0.4501   4.1808
  0.4547   4.3528
  0.4592   4.6233
  0.4637   5.0161
  0.4683   5.5513
  0.4728   6.1986
  0.4774   6.9620
  0.4820   7.7940
  0.4865   8.7831
  0.4911  10.1430
  0.4956  11.8200
  0.5002  13.8935
  0.5048  16.1484
  0.5094  18.2492
  0.5139  20.0450
  0.5185  21.6135
  0.5231  22.7947
  0.5277  23.3691
  0.5323  23.3031
  0.5369  22.7215
  0.5415  21.7886
  0.5461  20.6442
  0.5507  19.3544
  0.5552  18.0397
  0.5599  16.6453
  0.5645  15.3179
  0.5691  14.0254
  0.5737  12.7781
  0.5783  11.5778
  0.5829  10.3996
  0.5875   9.2850
  0.5922   8.2166
  0.5968   7.3320
  0.6014   6.6056
  0.6061   6.0678
  0.6107   5.7002
  0.6153   5.4470
  0.6200   5.2860
  0.6246   5.1637
  0.6292   5.0825
  0.6339   5.0156
  0.6386   4.9570
  0.6432   4.8963
  0.6479   4.8564
  0.6525   4.8461
  0.6572   4.8945
  0.6618   4.9959
  0.6665   5.1424
  0.6712   5.3241
  0.6759   5.5359
  0.6805   5.7542
  0.6852   5.9634
  0.6899   6.1693
  0.6946   6.3651
  0.6993   6.5388
  0.7039   6.6590
  0.7086   6.7028
  0.7133   6.6701
  0.7180   6.6021
  0.7227   6.5427
  0.7274   6.5628
  0.7321   6.6905
  0.7368   6.9250
  0.7416   7.2386
  0.7463   7.6127
  0.7510   8.0234
  0.7557   8.3926
  0.7604   8.6311
  0.7651   8.8136
  0.7699   8.9471
  0.7746   9.0023
  0.7793   9.0650
  0.7841   9.1501
  0.7888   9.3312
  0.7936   9.6109
  0.7983  10.0329
  0.8030  10.5704
  0.8078  11.1926
  0.8125  11.8698
  0.8173  12.6228
  0.8220  13.3783
  0.8268  14.1363
  0.8316  14.8680
  0.8363  15.5655
  0.8411  16.2923
  0.8459  16.9459
